Category,Skater,Coach,Choreographer
Dance,Holly Harris / Jason Chan,"Marie-France Dubreuil, Patrice Lauzon, Romain Hauguenauer, Pascal Denis, Benjamin Brisebois, Josée Piché","Marie-France Dubreuil, Samuel Chouinard"
Dance,India Nette / Eron Westwood,"Scott Moir, Adrian Diaz, Madison Hubbell","Barbara Fusar-Poli, Scott Moir, Adrian Diaz, Madison Hubbell"
Dance,Regina Ng / Dominik Mautner,Jonathan Guerreiro,Jonathan Guerreiro
Dance,Romy Malcolm / Kobi Chant,"Aaron Lowe, Tyler Myles, Megan Wing","Tyler Myles, Aaron Lowe, Megan Wing"
Dance,Viktoriia Azroian / Artur Gruzdev,Vazgen Azroian,Vazgen Azroian
Men,Callum Bradshaw,Miriam Manzano Hammond,"Miriam Manzano Hammond, Callum Bradshaw"
Men,Mikayel Salazaryan,"Alina Badalyan, Edgar Grigoryan",Edgar Grigoryan
Men,Raul Garcia Shibinskaia,Daniel Peinado,"Daniil Gleichenhaus, Eteri Tutberidze"
Men,Semen Daniliants,"Alexander Volkov, Artem Kazakov","Martine Dagenais, Dmitri Zykin"
Men,Vinceman Chong,"Richard Laidlaw, Lee Chaplin",Antony Cheng
Pairs,Anastasia Golubeva / Hektor Giotopoulos Moore,"Galina Pachina, Andrei Pachin",Jonathan Guerreiro
Pairs,Campbell Young / Lachlan Lewer,Drew Meekins,Drew Meekins
Pairs,Peyton Bellamy-Martins / Kryshtof Pradeaux,"Liz Cain, Barbora Pradeaux, Sean Carlow","Liz Cain, Barbora Pradeaux"
Pairs,Sophia Schaller / Livio Mayr,"Bruno Marcotte, Severin Kiefer, Brian Shales, Julia Kiefer, Violette Ivanoff ",Mark Pillay
Women,Cecilia Donohue,Kelly Harper,
Women,Elen Ghazaryan,Slavik Hayrapetyan,"Edgar Grigoryan, Ekaterina Proskurina"
Women,Lilia Vlasenko,"Didier Lucine, Sergei Rybnikov","Rostislav Sinicyn, Mérovée Ephrem (Sp)"
Women,Marina Asoyan,Armen Asoyan,
Women,Michelle Dicicco,Marisa Di Cicco,Benoit Richaud
Women,Milena Ghazaryan,"Alina Badalyan, Edgar Grigoryan",   
Women,Paula Margarido Pereira,Daniel Peinado,Bruno Esparbes
